item_name,text,Type,Answers,Values,Score: dep_soc_stigma,Optional,btn_width,
Instructions1,<span style='font-size:26px'><span style='color:#3f78d5'>These questions contain statements about depression. Please indicate how strongly <b><u>you personally</u></b> agree or disagree with each statement.</span></span>,Instruct,,,,,,
DSSQ1_pers,People with depression could snap out of it if they wanted.,likert,Strongly disagree|Disagree|Neither agree or disagree|Agree| Strongly agree,0|1|2|3|4,1,No,100px,
DSSQ2_pers,Depression is a sign of personal weakness.,likert,Strongly disagree|Disagree|Neither agree or disagree|Agree| Strongly agree,0|1|2|3|4,1,No,100px,
DSSQ3_pers,Depression is not a real medical illness.,likert,Strongly disagree|Disagree|Neither agree or disagree|Agree| Strongly agree,0|1|2|3|4,1,No,100px,
DSSQ4_pers,People with depression are dangerous.,likert,Strongly disagree|Disagree|Neither agree or disagree|Agree| Strongly agree,0|1|2|3|4,1,No,100px,
DSSQ5_pers,It is best to avoid people with depression so you don’t become depressed yourself.,likert,Strongly disagree|Disagree|Neither agree or disagree|Agree| Strongly agree,0|1|2|3|4,1,No,100px,
DSSQ6_pers,People with depression are unpredictable.,likert,Strongly disagree|Disagree|Neither agree or disagree|Agree| Strongly agree,0|1|2|3|4,1,No,100px,
DSSQ7_pers,If I had depression I would not tell anyone.,likert,Strongly disagree|Disagree|Neither agree or disagree|Agree| Strongly agree,0|1|2|3|4,1,No,100px,
DSSQ8_pers,I would not employ someone if I knew they had been depressed.,likert,Strongly disagree|Disagree|Neither agree or disagree|Agree| Strongly agree,0|1|2|3|4,1,No,100px,
DSSQ9_pers,I would not vote for a politician if I knew they had been depressed.,likert,Strongly disagree|Disagree|Neither agree or disagree|Agree| Strongly agree,0|1|2|3|4,1,No,100px,
Instructions1,"<span style='font-size:26px'><span style='color:#3f78d5'>These questions contain statements about depression. Please indicate how strongly <u><b>you think your parent</b></u> agrees or disagrees with each statement. There's no need to ask them to complete it, just try to estimate how they would repond to each item:</span></span>",Instruct,,,,,,
gass_soc_parent,"Please answer the following questions on behalf of one of your parents. Which parent will this be based on? Please write ""Mother"" or ""Father"" if possible, or explain if the person you have chosen is a step-parent or other relative.",text,,,,No,,
DSSQ1_pers_parent,People with depression could snap out of it if they wanted.,likert,Strongly disagree|Disagree|Neither agree or disagree|Agree| Strongly agree,0|1|2|3|4,1,No,100px,
DSSQ2_pers_parent,Depression is a sign of personal weakness.,likert,Strongly disagree|Disagree|Neither agree or disagree|Agree| Strongly agree,0|1|2|3|4,1,No,100px,
DSSQ3_pers_parent,Depression is not a real medical illness.,likert,Strongly disagree|Disagree|Neither agree or disagree|Agree| Strongly agree,0|1|2|3|4,1,No,100px,
DSSQ4_pers_parent,People with depression are dangerous.,likert,Strongly disagree|Disagree|Neither agree or disagree|Agree| Strongly agree,0|1|2|3|4,1,No,100px,
DSSQ5_pers_parent,It is best to avoid people with depression so you don’t become depressed yourself.,likert,Strongly disagree|Disagree|Neither agree or disagree|Agree| Strongly agree,0|1|2|3|4,1,No,100px,
DSSQ6_pers_parent,People with depression are unpredictable.,likert,Strongly disagree|Disagree|Neither agree or disagree|Agree| Strongly agree,0|1|2|3|4,1,No,100px,
DSSQ7_pers_parent,If I had depression I would not tell anyone.,likert,Strongly disagree|Disagree|Neither agree or disagree|Agree| Strongly agree,0|1|2|3|4,1,No,100px,
DSSQ8_pers_parent,I would not employ someone if I knew they had been depressed.,likert,Strongly disagree|Disagree|Neither agree or disagree|Agree| Strongly agree,0|1|2|3|4,1,No,100px,
DSSQ9_pers_parent,I would not vote for a politician if I knew they had been depressed.,likert,Strongly disagree|Disagree|Neither agree or disagree|Agree| Strongly agree,0|1|2|3|4,1,No,100px,
,,,,,,,,
