Item_name,Text,Type,Answers,Values,Optional,score: env_beh,btn_width,side_text,
env_bel_instr,<span class='text-primary' style='font-size:30'>How much do you do the following behaviours?</span>,instruct,,,,,,,
env_beh1,"I take measures to reduce my carbon footprint. ",likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,1,50px,Almost never|Almost always,
env_beh2,I take measures to act in an environmentally friendly way.,likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,1,50px,Almost never|Almost always,
env_beh3,I strive to behave sustainably.,likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,1,50px,Almost never|Almost always,
env_beh4,I engage in discussions about the environment.,likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,1,50px,Almost never|Almost always,
env_beh5,"I engage with the climate movement by reading articles, watching videos and seeking knowledge on the topic.",likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,1,50px,Almost never|Almost always,
env_beh6,"I take measures to reduce my fuel consumption (e.g. when travelling I opt for car pools, cycling, public transport and walking when possible. If I use my car, I will reduce excessive fuel consumption by restricting use of radio and air-conditioning). ",likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,1,50px,Almost never|Almost always,
env_beh7,"I take appropriate measures to reduce my energy consumption (by using energy saving light bulbs, turning lights off when leaving a room unattended, turning off electronic devices when not in use, reducing use of air-conditioning and fans, using energy efficient appliances, etc.).",likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,1,50px,Almost never|Almost always,
env_beh8,"I take appropriate measures to reduce energy consumption for heating (e.g. by keeping indoor temperature low, washing clothes at a lower temperature, wearing more clothes rather than using the heating, turning off heating in empty rooms etc.).",likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,1,50px,Almost never|Almost always,
env_beh9,"I have installed or am seriously considering installing solar panels for electricity, solar water heating and/or buying my household electricity on a Green Tariff. ",likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,1,50px,Almost never|Almost always,
env_beh10,"I take as few flights as possible and offset those which I do take. ",likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,1,50px,Almost never|Almost always,
env_beh11,"I reduce the amount of water I use (e.g. shorter showers, not running tap water unnecessarily during tooth-brushing and dish-washing, lowering frequency of dish-washer usage and toilet flushing, waiting for a full load before washing dishes and clothes, collecting rainwater, reducing or avoiding using sprinklers in the garden, using water stations for hydration rather than purchasing bottled water).",likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,1,50px,Almost never|Almost always,
env_beh12,"I decide not to buy something because I think it has too much packaging, or that its packaging is not eco-friendly/biodegradable.",likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,1,50px,Almost never|Almost always,
env_beh13,"I buy package free items (including cosmetics, toiletries, using refill stations, produce).",likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,1,50px,Almost never|Almost always,
