cue,image_type,
../User/Stimuli/gaze_images/unscrambled/bird1.jpg,animal,
../User/Stimuli/gaze_images/unscrambled/bird3.jpg,animal,
../User/Stimuli/gaze_images/unscrambled/cat5.jpg,animal,
../User/Stimuli/gaze_images/unscrambled/chipmunk2.jpg,animal,
../User/Stimuli/gaze_images/unscrambled/dog6.jpg,animal,
../User/Stimuli/gaze_images/unscrambled/cold1.jpg,control,
../User/Stimuli/gaze_images/unscrambled/car1.jpg,control,
../User/Stimuli/gaze_images/unscrambled/bricks1.jpg,control,
../User/Stimuli/gaze_images/unscrambled/phone1.jpg,control,
../User/Stimuli/gaze_images/unscrambled/archery2.jpg,control,
../User/Stimuli/gaze_images/unscrambled/lake9.jpg,nonsocial,
../User/Stimuli/gaze_images/unscrambled/nature1.jpg,nonsocial,
../User/Stimuli/gaze_images/unscrambled/nature2.jpg,nonsocial,
../User/Stimuli/gaze_images/unscrambled/rainbow2.jpg,nonsocial,
../User/Stimuli/gaze_images/unscrambled/sunset5.jpg,nonsocial,
../User/Stimuli/gaze_images/unscrambled/cups2.jpg,control,
../User/Stimuli/gaze_images/unscrambled/fence2.jpg,control,
../User/Stimuli/gaze_images/unscrambled/firehydrant2.jpg,control,
../User/Stimuli/gaze_images/unscrambled/roofing3.jpg,control,
../User/Stimuli/gaze_images/unscrambled/sidewalk3.jpg,control,
../User/Stimuli/gaze_images/unscrambled/dancing7.jpg,social,
../User/Stimuli/gaze_images/unscrambled/excitedface2.jpg,social,
../User/Stimuli/gaze_images/unscrambled/father1.jpg,social,
../User/Stimuli/gaze_images/unscrambled/gazing6.jpg,social,
../User/Stimuli/gaze_images/unscrambled/mother1.jpg,social,
../User/Stimuli/gaze_images/unscrambled/timber2.jpg,control,
../User/Stimuli/gaze_images/unscrambled/officesupplies5.jpg,control,
../User/Stimuli/gaze_images/unscrambled/biking1.jpg,control,
../User/Stimuli/gaze_images/unscrambled/cups4.jpg,control,
../User/Stimuli/gaze_images/unscrambled/fence6.jpg,control,
../User/Stimuli/gaze_images/unscrambled/elephant1.jpg,animal,
../User/Stimuli/gaze_images/unscrambled/horse1.jpg,animal,
../User/Stimuli/gaze_images/unscrambled/lamb1.jpg,animal,
../User/Stimuli/gaze_images/unscrambled/penguins2.jpg,animal,
../User/Stimuli/gaze_images/unscrambled/zebra1.jpg,animal,
../User/Stimuli/gaze_images/unscrambled/beach1.jpg,nonsocial,
../User/Stimuli/gaze_images/unscrambled/bridge1.jpg,nonsocial,
../User/Stimuli/gaze_images/unscrambled/fireworks2.jpg,nonsocial,
../User/Stimuli/gaze_images/unscrambled/flowers8.jpg,nonsocial,
../User/Stimuli/gaze_images/unscrambled/galaxy7.jpg,nonsocial,
../User/Stimuli/gaze_images/unscrambled/baby1.jpg,social,
../User/Stimuli/gaze_images/unscrambled/couple4.jpg,social,
../User/Stimuli/gaze_images/unscrambled/picnic1.jpg,social,
../User/Stimuli/gaze_images/unscrambled/siblings1.jpg,social,
../User/Stimuli/gaze_images/unscrambled/wedding10.jpg,social,
../User/Stimuli/gaze_images/unscrambled/cups1.jpg,control,
../User/Stimuli/gaze_images/unscrambled/fence1.jpg,control,
../User/Stimuli/gaze_images/unscrambled/firehydrant1.jpg,control,
../User/Stimuli/gaze_images/unscrambled/roofing2.jpg,control,
../User/Stimuli/gaze_images/unscrambled/sidewalk1.jpg,control,
../User/Stimuli/gaze_images/unscrambled/ambulance3.jpg,control,
../User/Stimuli/gaze_images/unscrambled/road1.jpg,control,
../User/Stimuli/gaze_images/unscrambled/officesupplies3.jpg,control,
../User/Stimuli/gaze_images/unscrambled/solarpanel1.jpg,control,
../User/Stimuli/gaze_images/unscrambled/billiards1.jpg,control,
../User/Stimuli/gaze_images/unscrambled/motocross1.jpg,control,
../User/Stimuli/gaze_images/unscrambled/carrace3.jpg,control,
../User/Stimuli/gaze_images/unscrambled/firehydrant3.jpg,control,
../User/Stimuli/gaze_images/unscrambled/roofing5.jpg,control,
../User/Stimuli/gaze_images/unscrambled/sidewalk5.jpg,control,
,,
