task,image_1,image_2,
AnimalReward,User/Stimuli/gaze_images/bird1.jpg,User/Stimuli/gaze_images/cold1.jpg,
AnimalReward,https://dl.dropbox.com/s/uo9logncygyoex0/bird%203.jpg?dl=0,https://dl.dropbox.com/s/fnpq5jbun1wc3tu/Car%201.jpg?dl=0,
AnimalReward,https://dl.dropbox.com/s/nj3if12pzm0q9lh/cat%205.jpg?dl=0,https://dl.dropbox.com/s/sou450xajtalrqs/bricks%201.jpg?dl=0,
AnimalReward,https://dl.dropbox.com/s/er4mjaizwylqx20/chipmunk%202.jpg?dl=0,https://dl.dropbox.com/s/y7it0cchk10m9mu/phone%201.jpg?dl=0,
AnimalReward,https://dl.dropbox.com/s/oiikipmpf7u39xp/dog%206.jpg?dl=0,https://dl.dropbox.com/s/ktjvwn3upzk0vmn/archery%202.jpg?dl=0,
AnimalReward,https://dl.dropbox.com/s/gyyq5resy43n72e/elephant%201.jpg?dl=0,https://dl.dropbox.com/s/4twbuj9r68uhdlu/cups%201.jpg?dl=0,
AnimalReward,https://dl.dropbox.com/s/o5l30n1dcv0uyeb/horse%201.jpg?dl=0,https://dl.dropbox.com/s/8pmak9tlry5q3of/fence%201.jpg?dl=0,
AnimalReward,https://dl.dropbox.com/s/kkp46sderlup6wn/lamb%201.jpg?dl=0,https://dl.dropbox.com/s/w1lxeyo938jgzn8/fire%20hydrant%201.jpg?dl=0,
AnimalReward,https://dl.dropbox.com/s/c7sdse7spulhp0a/penguins%202.jpg?dl=0,https://dl.dropbox.com/s/l6ku5meubdibypc/roofing%202.jpg?dl=0,
AnimalReward,https://dl.dropbox.com/s/yo5fo5gf7yhw1hj/zebra%201.jpg?dl=0,https://dl.dropbox.com/s/y2xlyxxjr686okt/sidewalk%201.jpg?dl=0,
NonsocialReward,https://dl.dropbox.com/s/95e2mgthz84y9m0/beach%201.jpg?dl=0,https://dl.dropbox.com/s/seczpzzmlefjpq6/ambulance%203.jpg?dl=0,
NonsocialReward,https://dl.dropbox.com/s/0976wd1u3mw7p6p/bridge%201.jpg?dl=0,https://dl.dropbox.com/s/1b73da0edptmfv2/road%201.jpg?dl=0,
NonsocialReward,https://dl.dropbox.com/s/ieztz12r8sei447/fireworks%202.jpg?dl=0,https://dl.dropbox.com/s/vbk8azvjpv6wg7c/office%20supplies%203.jpg?dl=0,
NonsocialReward,https://dl.dropbox.com/s/mj2b59l52n6av0g/flowers%208.jpg?dl=0,https://dl.dropbox.com/s/59g6om1iqppae0p/solar%20panel%201.jpg?dl=0,
NonsocialReward,https://dl.dropbox.com/s/dqhs0t10jirrphj/galaxy%207.jpg?dl=0,https://dl.dropbox.com/s/56wsqzig3jssxwe/billiards%201.jpg?dl=0,
NonsocialReward,https://dl.dropbox.com/s/466nlidsugwmc0a/lake%209.jpg?dl=0,https://dl.dropbox.com/s/4agr3405io7smkv/cups%202.jpg?dl=0,
NonsocialReward,https://dl.dropbox.com/s/7lvt51s4mvox6mx/nature%201.jpg?dl=0,https://dl.dropbox.com/s/cb8pwbhwxn3xzlc/fence%202.jpg?dl=0,
NonsocialReward,https://dl.dropbox.com/s/2klc82u8ocgma6g/nature%202.jpg?dl=0,https://dl.dropbox.com/s/kd8z3x634av4c7t/fire%20hydrant%202.jpg?dl=0,
NonsocialReward,https://dl.dropbox.com/s/vy9twtf2h7bi594/rainbow%202.jpg?dl=0,https://dl.dropbox.com/s/d0xaoxoq4pecteo/roofing%203.jpg?dl=0,
NonsocialReward,https://dl.dropbox.com/s/br7mewn77g8lsxk/sunset%205.jpg?dl=0,https://dl.dropbox.com/s/xzpigi0y7ogqgx7/sidewalk%203.jpg?dl=0,
SocialReward,https://dl.dropbox.com/s/41c9pn2qbdpwu2d/baby%201.jpg?dl=0,https://dl.dropbox.com/s/4wdkf988ksu1hv6/motocross%201.jpg?dl=0,
SocialReward,https://dl.dropbox.com/s/kfyq65vizlp4yks/couple%204.jpg?dl=0,https://dl.dropbox.com/s/yvnck6ssgwnjeif/car%20race%203.jpg?dl=0,
SocialReward,https://dl.dropbox.com/s/gyfunpr8tkbheuu/dancing%207.jpg?dl=0,https://dl.dropbox.com/s/ll91tzu5c9d9kyo/timber%202.jpg?dl=0,
SocialReward,https://dl.dropbox.com/s/5hbl5rvlppor2fm/excited%20face%202.jpg?dl=0,https://dl.dropbox.com/s/hk5ct1c2pj63v85/office%20supplies%205.jpg?dl=0,
SocialReward,https://dl.dropbox.com/s/tqtu1nrjsqlalbt/father%201.jpg?dl=0,https://dl.dropbox.com/s/ik440yoq4cgwvzj/biking%201.jpg?dl=0,
SocialReward,https://dl.dropbox.com/s/f8kg5kusvp5ixui/gazing%206.jpg?dl=0,https://dl.dropbox.com/s/zccl5qbdbdjyfg2/cups%204.jpg?dl=0,
SocialReward,https://dl.dropbox.com/s/zmcy8lwkkysq5iu/mother%201.jpg?dl=0,https://dl.dropbox.com/s/532m2xb6xkyxiir/fence%206.jpg?dl=0,
SocialReward,https://dl.dropbox.com/s/2uix5tu7af6ly8y/Picnic%201.jpg?dl=0,https://dl.dropbox.com/s/tij0q753z197ong/fire%20hydrant%203.jpg?dl=0,
SocialReward,https://dl.dropbox.com/s/t886o8zbg921um7/siblings%201.jpg?dl=0,https://dl.dropbox.com/s/am4a0mrhu4se3qs/roofing%205.jpg?dl=0,
SocialReward,https://dl.dropbox.com/s/3ie5b2ujno0mt8m/wedding%2010.jpg?dl=0,https://dl.dropbox.com/s/hjw1pifex86epxv/sidewalk%205.jpg?dl=0,
,,,
