task,image_1,image_2,scrambled,
AnimalReward,../User/Stimuli/scrambledgaze_images/bird1.jpg,../User/Stimuli/scrambledgaze_images/cold1.jpg,scrambled,
AnimalReward,../User/Stimuli/scrambledgaze_images/bird3.jpg,../User/Stimuli/scrambledgaze_images/car1.jpg,scrambled,
AnimalReward,../User/Stimuli/scrambledgaze_images/cat5.jpg,../User/Stimuli/scrambledgaze_images/bricks1.jpg,scrambled,
AnimalReward,../User/Stimuli/scrambledgaze_images/chipmunk2.jpg,../User/Stimuli/scrambledgaze_images/phone1.jpg,scrambled,
AnimalReward,../User/Stimuli/scrambledgaze_images/dog6.jpg,../User/Stimuli/scrambledgaze_images/archery2.jpg,scrambled,
AnimalReward,../User/Stimuli/unscrambledgaze_images/elephant1.jpg,../User/Stimuli/unscrambledgaze_images/cups1.jpg,unscrambled,
AnimalReward,../User/Stimuli/unscrambledgaze_images/horse1.jpg,../User/Stimuli/unscrambledgaze_images/fence1.jpg,unscrambled,
AnimalReward,../User/Stimuli/unscrambledgaze_images/lamb1.jpg,../User/Stimuli/unscrambledgaze_images/firehydrant1.jpg,unscrambled,
AnimalReward,../User/Stimuli/unscrambledgaze_images/penguins2.jpg,../User/Stimuli/unscrambledgaze_images/roofing2.jpg,unscrambled,
AnimalReward,../User/Stimuli/unscrambledgaze_images/zebra1.jpg,../User/Stimuli/unscrambledgaze_images/sidewalk1.jpg,unscrambled,
NonsocialReward,../User/Stimuli/unscrambledgaze_images/beach1.jpg,../User/Stimuli/unscrambledgaze_images/ambulance3.jpg,unscrambled,
NonsocialReward,../User/Stimuli/unscrambledgaze_images/bridge1.jpg,../User/Stimuli/unscrambledgaze_images/road1.jpg,unscrambled,
NonsocialReward,../User/Stimuli/unscrambledgaze_images/fireworks2.jpg,../User/Stimuli/unscrambledgaze_images/officesupplies3.jpg,unscrambled,
NonsocialReward,../User/Stimuli/unscrambledgaze_images/flowers8.jpg,../User/Stimuli/unscrambledgaze_images/solarpanel1.jpg,unscrambled,
NonsocialReward,../User/Stimuli/unscrambledgaze_images/galaxy7.jpg,../User/Stimuli/unscrambledgaze_images/billiards1.jpg,unscrambled,
NonsocialReward,../User/Stimuli/scrambledgaze_images/lake9.jpg,../User/Stimuli/scrambledgaze_images/cups2.jpg,scrambled,
NonsocialReward,../User/Stimuli/scrambledgaze_images/nature1.jpg,../User/Stimuli/scrambledgaze_images/fence2.jpg,scrambled,
NonsocialReward,../User/Stimuli/scrambledgaze_images/nature2.jpg,../User/Stimuli/scrambledgaze_images/firehydrant2.jpg,scrambled,
NonsocialReward,../User/Stimuli/scrambledgaze_images/rainbow2.jpg,../User/Stimuli/scrambledgaze_images/roofing3.jpg,scrambled,
NonsocialReward,../User/Stimuli/scrambledgaze_images/sunset5.jpg,../User/Stimuli/scrambledgaze_images/sidewalk3.jpg,scrambled,
SocialReward,../User/Stimuli/unscrambledgaze_images/baby1.jpg,../User/Stimuli/unscrambledgaze_images/motocross1.jpg,unscrambled,
SocialReward,../User/Stimuli/unscrambledgaze_images/couple4.jpg,../User/Stimuli/unscrambledgaze_images/carrace3.jpg,unscrambled,
SocialReward,../User/Stimuli/scrambledgaze_images/dancing7.jpg,../User/Stimuli/scrambledgaze_images/timber2.jpg,scrambled,
SocialReward,../User/Stimuli/scrambledgaze_images/excitedface2.jpg,../User/Stimuli/scrambledgaze_images/officesupplies5.jpg,scrambled,
SocialReward,../User/Stimuli/scrambledgaze_images/father1.jpg,../User/Stimuli/scrambledgaze_images/biking1.jpg,scrambled,
SocialReward,../User/Stimuli/scrambledgaze_images/gazing6.jpg,../User/Stimuli/scrambledgaze_images/cups4.jpg,scrambled,
SocialReward,../User/Stimuli/scrambledgaze_images/mother1.jpg,../User/Stimuli/scrambledgaze_images/fence6.jpg,scrambled,
SocialReward,../User/Stimuli/unscrambledgaze_images/Picnic1.jpg,../User/Stimuli/unscrambledgaze_images/firehydrant3.jpg,unscrambled,
SocialReward,../User/Stimuli/unscrambledgaze_images/siblings1.jpg,../User/Stimuli/unscrambledgaze_images/roofing5.jpg,unscrambled,
SocialReward,../User/Stimuli/unscrambledgaze_images/wedding10.jpg,../User/Stimuli/unscrambledgaze_images/sidewalk5.jpg,unscrambled,
,,,,
