item_name,text,Type,Answers,Values,Score: dep_soc_stigma,Optional,btn_width,
Instructions1,"<span style='font-size:26px'><span style='color:#3f78d5'>The following statements are about anxiety disorders. Please indicate how strongly you
personally agree or disagree with each statement. </span></span>",Instruct,,,,,,
GASSQ1_pers,An anxiety disorder is not a real medical illness,likert,Strongly disagree|Disagree|Neither agree or disagree|Agree| Strongly agree,0|1|2|3|4,1,No,100px,
GASSQ2_pers,An anxiety disorder is a sign of personal weakness,likert,Strongly disagree|Disagree|Neither agree or disagree|Agree| Strongly agree,0|1|2|3|4,1,No,100px,
GASSQ3_pers,People with an anxiety disorder could snap out of it if they wanted to,likert,Strongly disagree|Disagree|Neither agree or disagree|Agree| Strongly agree,0|1|2|3|4,1,No,100px,
GASSQ4_pers,People with an anxiety disorder should be ashamed of themselves,likert,Strongly disagree|Disagree|Neither agree or disagree|Agree| Strongly agree,0|1|2|3|4,1,No,100px,
GASSQ5_pers,People with an anxiety disorder do not make suitable employees,likert,Strongly disagree|Disagree|Neither agree or disagree|Agree| Strongly agree,0|1|2|3|4,1,No,100px,
GASSQ6_pers,People with an anxiety disorder are unstable,likert,Strongly disagree|Disagree|Neither agree or disagree|Agree| Strongly agree,0|1|2|3|4,1,No,100px,
GASSQ7_pers,People with an anxiety disorder are to blame for their own problem,likert,Strongly disagree|Disagree|Neither agree or disagree|Agree| Strongly agree,0|1|2|3|4,1,No,100px,
GASSQ8_pers,People with an anxiety disorder are just lazy,likert,Strongly disagree|Disagree|Neither agree or disagree|Agree| Strongly agree,0|1|2|3|4,1,No,100px,
GASSQ9_pers,People with an anxiety disorder are a danger to others,likert,Strongly disagree|Disagree|Neither agree or disagree|Agree| Strongly agree,0|1|2|3|4,1,No,100px,
GASSQ10_pers,People with an anxiety disorder are self-centred,likert,Strongly disagree|Disagree|Neither agree or disagree|Agree| Strongly agree,0|1|2|3|4,1,No,100px,
Instructions1,"<span style='font-size:26px'><span style='color:#3f78d5'>The following statements are about anxiety disorders. Please indicate how strongly <u><b>you think your parent</b></u> agrees or disagrees with each statement. There's no need to ask them to complete it, just try to estimate how they would repond to each item:</span></span>",Instruct,,,,,,
gass_soc_parent,"Please answer the following questions on behalf of one of your parents. Which parent will this be based on? Please write ""Mother"" or ""Father"" if possible, or explain if the person you have chosen is a step-parent or other relative.",text,,,,No,,
GASSQ1_pers_parent,An anxiety disorder is not a real medical illness,likert,Strongly disagree|Disagree|Neither agree or disagree|Agree| Strongly agree,0|1|2|3|4,1,No,100px,
GASSQ2_pers_parent,An anxiety disorder is a sign of personal weakness,likert,Strongly disagree|Disagree|Neither agree or disagree|Agree| Strongly agree,0|1|2|3|4,1,No,100px,
GASSQ3_pers_parent,People with an anxiety disorder could snap out of it if they wanted to,likert,Strongly disagree|Disagree|Neither agree or disagree|Agree| Strongly agree,0|1|2|3|4,1,No,100px,
GASSQ4_pers_parent,People with an anxiety disorder should be ashamed of themselves,likert,Strongly disagree|Disagree|Neither agree or disagree|Agree| Strongly agree,0|1|2|3|4,1,No,100px,
GASSQ5_pers_parent,People with an anxiety disorder do not make suitable employees,likert,Strongly disagree|Disagree|Neither agree or disagree|Agree| Strongly agree,0|1|2|3|4,1,No,100px,
GASSQ6_pers_parent,People with an anxiety disorder are unstable,likert,Strongly disagree|Disagree|Neither agree or disagree|Agree| Strongly agree,0|1|2|3|4,1,No,100px,
GASSQ7_pers_parent,People with an anxiety disorder are to blame for their own problem,likert,Strongly disagree|Disagree|Neither agree or disagree|Agree| Strongly agree,0|1|2|3|4,1,No,100px,
GASSQ8_pers_parent,People with an anxiety disorder are just lazy,likert,Strongly disagree|Disagree|Neither agree or disagree|Agree| Strongly agree,0|1|2|3|4,1,No,100px,
GASSQ9_pers_parent,People with an anxiety disorder are a danger to others,likert,Strongly disagree|Disagree|Neither agree or disagree|Agree| Strongly agree,0|1|2|3|4,1,No,100px,
GASSQ10_pers_parent,People with an anxiety disorder are self-centred,likert,Strongly disagree|Disagree|Neither agree or disagree|Agree| Strongly agree,0|1|2|3|4,1,No,100px,
,,,,,,,,
