item_name,text,Type,Answers,Values,Score: aq_soc_stigma,Optional,btn_width,
Instructions1,"<span style='font-size:26px'><span style='color:#3f78d5'>These questions contain statements about autism. 
<br>
<br>
We would like you to tell us what you think most other people believe. Please indicate how
strongly you agree or disagree with the following statements</span></span>
",Instruct,,,,,,
ASS1_soc,Most people believe that people with autism could snap out of it if they wanted.,likert,Strongly agree|Agree|Neither agree nor disagree|Disagree|Strongly disagree,4|3|2|1|0,1,No,100px,
ASS2_soc,Most people believe that autism is a sign of personal weakness.,likert,Strongly agree|Agree|Neither agree nor disagree|Disagree|Strongly disagree,4|3|2|1|0,1,No,100px,
ASS3_soc,Most people believe that autism is not a real medicall illness.,likert,Strongly agree|Agree|Neither agree nor disagree|Disagree|Strongly disagree,4|3|2|1|0,1,No,100px,
ASS4_soc,Most people believe that people with autism are dangerous.,likert,Strongly agree|Agree|Neither agree nor disagree|Disagree|Strongly disagree,4|3|2|1|0,1,No,100px,
ASS5_soc,Most people believe that it is best to avoid people with autism so that you don't become autistic yourself.,likert,Strongly agree|Agree|Neither agree nor disagree|Disagree|Strongly disagree,4|3|2|1|0,1,No,100px,
ASS6_soc,Most people believe that people with autism are unpredictable.,likert,Strongly agree|Agree|Neither agree nor disagree|Disagree|Strongly disagree,4|3|2|1|0,1,No,100px,
ASS7_soc,"If they had autism, most people would not tell anyone.",likert,Strongly agree|Agree|Neither agree nor disagree|Disagree|Strongly disagree,4|3|2|1|0,1,No,100px,
ASS8_soc,Most people would not employ someone they knew had been autistic.,likert,Strongly agree|Agree|Neither agree nor disagree|Disagree|Strongly disagree,4|3|2|1|0,1,No,100px,
ASS9_soc,Most people would not vote for a politician they knew had been autistic.,likert,Strongly agree|Agree|Neither agree nor disagree|Disagree|Strongly disagree,4|3|2|1|0,1,No,100px,
,,,,,,,,
